time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-01-04T20:45:30.920Z,32.8733333,-115.5061667,8.689,1.83,ml,19,83,0.06018,0.2,ci,ci11410122,2016-03-11T07:41:19.451Z,"7km ENE of Imperial, CA",earthquake,0.52,0.9,0.128,16,reviewed,ci,ci
2014-01-04T20:37:37.380Z,32.872,-115.5015,9.069,2.09,ml,23,76,0.05607,0.2,ci,ci11410114,2016-03-12T06:00:21.231Z,"7km ENE of Imperial, CA",earthquake,0.41,0.87,0.157,31,reviewed,ci,ci
2014-01-04T20:35:30.100Z,36.8398,-98.3576,2.988,3.5,mb_lg,,,,0.71,us,usc000lwxy,2015-01-30T01:21:33.179Z,"8 km SE of Burlington, Oklahoma",earthquake,,7,0.068,63,reviewed,tul,us
2014-01-04T20:31:56.040Z,38.761,-122.7411667,1.36,0.41,md,17,99,0.009009,0.04,nc,nc72136201,2017-02-02T19:51:35.323Z,"6 km SSW of Cobb, California",earthquake,0.15,0.28,0.201,3,reviewed,nc,nc
2014-01-04T20:20:10.500Z,37.4068333,-118.4563333,7.309,0.48,md,8,86,0.1009,0.07,nc,nc72136196,2017-02-02T19:51:28.282Z,"4 km WNW of Dixon Lane-Meadow Creek, California",earthquake,0.51,2.21,0.218,7,reviewed,nc,nc
2014-01-04T20:19:12.470Z,38.8046684,-122.7696686,1.089,0.53,md,10,115,0.01261,0.02,nc,nc72136191,2017-02-02T19:51:22.008Z,"4 km WSW of Cobb, California",earthquake,0.3,1.05,0.04,2,automatic,nc,nc
2014-01-04T20:18:03.050Z,51.758,-172.012,17.4,2.5,ml,,,,0.69,us,usc000lz3w,2019-05-20T22:46:41.154Z,"158 km ESE of Atka, Alaska",earthquake,,8.7,,11,reviewed,ak,ak
2014-01-04T20:16:01.590Z,38.8083344,-122.8141632,-0.695,0.88,md,6,117,0.01171,0.07,nc,nc72136186,2017-02-02T19:51:16.124Z,"8 km W of Cobb, California",earthquake,0.5,5.61,,1,automatic,nc,nc
2014-01-04T20:14:59.995Z,63.2661,-150.4824,124.8,1.5,ml,,,,0.28,ak,ak0146y56q7,2019-05-20T22:46:40.438Z,"69 km ESE of Denali National Park, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2014-01-04T20:11:40.990Z,37.1403333,-121.5326667,7.711,0.87,md,17,104,0.02793,0.06,nc,nc72136181,2017-02-02T19:51:10.160Z,"9 km NE of San Martin, California",earthquake,0.35,0.53,0.207,15,reviewed,nc,nc
2014-01-04T20:07:01.400Z,32.898,-116.2746667,6.483,1.31,ml,33,88,0.02589,0.18,ci,ci11410106,2016-03-11T07:41:18.206Z,"25km ENE of Pine Valley, CA",earthquake,0.31,0.71,0.104,14,reviewed,ci,ci
2014-01-04T19:47:10.485Z,63.1571,-149.9516,88,1.6,ml,,,,0.49,ak,ak0146xqpxk,2019-05-20T22:46:40.031Z,"56 km WSW of Cantwell, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2014-01-04T19:34:25.650Z,56.7458,129.5327,1,5.3,mb,,44,5.302,0.58,us,usc000lwx9,2014-03-07T00:25:58.000Z,"282 km E of Chul’man, Russia",earthquake,,3.6,0.031,373,reviewed,us,us
2014-01-04T19:32:41.350Z,19.3415,-155.2248333,7.082,0.76,md,10,106,,0.03,hv,hv60615776,2020-07-06T20:38:59.510Z,"11 km S of Volcano, Hawaii",earthquake,0.58,1.63,0.012,4,reviewed,hv,hv
2014-01-04T19:29:18.150Z,38.809166,-122.8121643,2.113,0.94,md,12,96,0.01351,0.03,nc,nc72136171,2017-02-02T19:51:03.778Z,"7 km W of Cobb, California",earthquake,0.29,0.51,0.14,4,automatic,nc,nc
2014-01-04T19:27:50.420Z,37.5095,-118.8343333,6.239,0.53,md,8,157,0.08108,0.02,nc,nc72136176,2017-02-02T19:50:58.212Z,"11 km WSW of Aspen Springs, California",earthquake,1.87,4.04,0.2,7,reviewed,nc,nc
2014-01-04T19:26:18.000Z,-23.458,-68.829,106.5,4.2,mb,,,,0.92,us,usb000m4qz,2014-03-07T00:25:58.000Z,"88 km SW of San Pedro de Atacama, Chile",earthquake,,4.1,0.167,11,reviewed,guc,us
2014-01-04T19:25:42.400Z,32.8203333,-115.5805,10.908,1.75,ml,18,119,0.104,0.14,ci,ci11410098,2016-03-11T16:44:46.748Z,"3km SSW of Imperial, CA",earthquake,0.53,1.14,0.19,15,reviewed,ci,ci
2014-01-04T19:20:31.000Z,-28.024,-65.533,13,3.6,md,,,,1.01,us,usc000mlfl,2014-03-07T00:25:58.000Z,"4 km NW of Los Altos, Argentina",earthquake,,5.2,,,reviewed,sja,sja
2014-01-04T19:15:25.960Z,28.2375,141.974,42.71,4.5,mb,,138,1.152,0.55,us,usb000m4qy,2014-03-07T00:25:58.000Z,"Bonin Islands, Japan region",earthquake,,8.6,0.136,17,reviewed,us,us
2014-01-04T19:10:44.240Z,40.2857,-119.7907,11.9,-0.1,ml,3,308.02,0.124,0.1049,nn,nn00433337,2018-06-29T22:59:53.612Z,"33 km ENE of Herlong, California",earthquake,,5.2,0.2,3,reviewed,nn,nn
